seq_num	parent_seq_num	max_status	
00030	00005	HR	
00045	00035	HR	
00060	00050	TS	
00130	00065	HR	
00160	00135	TS	
00190	00165	TS	
00260	00195	HR	
00280	00265	HR	
00315	00285	HR	
00370	00320	HR	
00410	00375	HR	
00425	00415	TS	
00440	00430	TS	
00510	00445	HR	
00535	00515	HR	
00550	00540	TS	
00590	00555	HR	
00605	00595	TS	
00635	00610	HR	
00660	00640	HR	
00675	00665	TS	
00715	00680	HR	
00740	00720	HR	
00765	00745	TS	
00780	00770	HR	
00800	00785	HR	
00815	00805	HR	
00845	00820	TS	
00870	00850	HR	
00900	00875	HR	
00920	00905	HR	
00945	00925	TS	
00960	00950	TS	
01020	00965	HR	
01055	01025	HR	
01075	01060	TS	
01150	01080	HR	
01185	01155	HR	
01230	01190	HR	
01245	01235	HR	
01260	01250	HR	
01290	01265	HR	
01340	01295	HR	
01370	01345	HR	
01410	01375	HR	
01425	01415	HR	
01450	01430	HR	
01470	01455	HR	
01490	01475	HR	
01520	01495	HR	
01555	01525	HR	
01580	01560	TS	
01620	01585	HR	
01675	01625	HR	
01700	01680	HR	
01715	01705	HR	
01755	01720	HR	
01785	01760	TS	
01815	01790	HR	
01850	01820	HR	
01895	01855	HR	
01930	01900	HR	
01970	01935	HR	
01985	01975	HR	
02005	01990	HR	
02035	02010	TS	
02050	02040	TS	
02075	02055	HR	
02100	02080	TS	
02130	02105	HR	
02185	02135	HR	
02200	02190	TS	
02230	02205	HR	
02260	02235	TS	
02280	02265	HR	
02300	02285	HR	
02335	02305	HR	
02355	02340	HR	
02405	02360	HR	
02435	02410	TS	
02455	02440	TS	
02475	02460	TS	
02500	02480	TS	
02525	02505	HR	
02540	02530	TS	
02585	02545	HR	
02615	02590	TS	
02640	02620	HR	
02655	02645	TS	
02670	02660	TS	
02705	02675	TS	
02760	02710	HR	
02775	02765	TS	
02790	02780	HR	
02840	02795	HR	
02880	02845	HR	
02920	02885	HR	
02950	02925	HR	
02965	02955	HR	
02990	02970	HR	
03060	02995	HR	
03080	03065	TS	
03105	03085	HR	
03150	03110	HR	
03165	03155	HR	
03195	03170	HR	
03210	03200	TS	
03235	03215	HR	
03285	03240	HR	
03300	03290	TS	
03335	03305	HR	
03370	03340	HR	
03415	03375	TS	
03440	03420	HR	
03465	03445	HR	
03480	03470	HR	
03500	03485	HR	
03515	03505	HR	
03535	03520	TS	
03560	03540	HR	
03585	03565	HR	
03635	03590	HR	
03650	03640	TS	
03665	03655	TS	
03685	03670	HR	
03700	03690	HR	
03740	03705	HR	
03770	03745	TS	
03805	03775	HR	
03835	03810	HR	
03895	03840	HR	
03910	03900	HR	
03930	03915	HR	
03960	03935	HR	
03975	03965	HR	
04010	03980	HR	
04045	04015	TS	
04070	04050	TS	
04130	04075	HR	
04210	04135	HR	
04240	04215	HR	
04270	04245	HR	
04320	04275	HR	
04350	04325	HR	
04385	04355	TS	
04465	04390	HR	
04535	04470	HR	
04580	04540	HR	
04625	04585	HR	
04645	04630	TS	
04735	04650	HR	
04760	04740	HR	
04785	04765	TS	
04870	04790	HR	
04900	04875	TS	
04935	04905	HR	
05000	04940	HR	
05040	05005	TS	
05070	05045	TS	
05115	05075	HR	
05150	05120	HR	
05180	05155	HR	
05240	05185	HR	
05305	05245	HR	
05340	05310	TS	
05370	05345	HR	
05405	05375	HR	
05430	05410	HR	
05480	05435	HR	
05505	05485	TS	
05550	05510	HR	
05620	05555	HR	
05655	05625	TS	
05705	05660	HR	
05750	05710	HR	
05835	05755	HR	
05875	05840	TS	
05915	05880	TS	
05950	05920	TS	
05975	05955	TS	
06000	05980	TS	
06070	06005	HR	
06095	06075	HR	
06135	06100	HR	
06210	06140	HR	
06255	06215	HR	
06340	06260	HR	
06385	06345	HR	
06435	06390	HR	
06480	06440	HR	
06530	06485	HR	
06580	06535	TS	
06610	06585	HR	
06660	06615	HR	
06700	06665	HR	
06735	06705	HR	
06770	06740	TS	
06820	06775	TS	
06860	06825	HR	
06890	06865	HR	
06925	06895	TS	
06990	06930	HR	
07030	06995	HR	
07085	07035	HR	
07145	07090	HR	
07185	07150	HR	
07210	07190	HR	
07260	07215	HR	
07300	07265	HR	
07345	07305	HR	
07380	07350	TS	
07410	07385	TS	
07440	07415	TS	
07490	07445	HR	
07530	07495	HR	
07585	07535	HR	
07620	07590	HR	
07665	07625	TS	
07685	07670	HR	
07755	07690	HR	
07780	07760	TS	
07810	07785	TS	
07845	07815	HR	
07910	07850	HR	
07975	07915	HR	
08035	07980	HR	
08095	08040	HR	
08140	08100	TS	
08180	08145	HR	
08260	08185	HR	
08325	08265	HR	
08390	08330	HR	
08445	08395	HR	
08495	08450	HR	
08520	08500	TS	
08565	08525	HR	
08595	08570	HR	
08650	08600	HR	
08680	08655	HR	
08715	08685	TS	
08740	08720	HR	
08790	08745	HR	
08830	08795	HR	
08895	08835	HR	
08955	08900	HR	
09030	08960	HR	
09070	09035	HR	
09125	09075	HR	
09180	09130	HR	
09220	09185	HR	
09260	09225	TS	
09300	09265	TS	
09340	09305	TS	
09375	09345	TS	
09405	09380	TS	
09460	09410	HR	
09520	09465	TS	
09580	09525	HR	
09640	09585	HR	
09680	09645	HR	
09750	09685	HR	
09785	09755	HR	
09815	09790	TS	
09835	09820	TS	
09915	09840	HR	
09940	09920	HR	
09975	09945	HR	
10030	09980	TS	
10080	10035	HR	
10125	10085	HR	
10165	10130	TS	
10190	10170	HR	
10215	10195	TS	
10280	10220	HR	
10335	10285	HR	
10385	10340	TS	
10420	10390	HR	
10455	10425	HR	
10505	10460	TS	
10595	10510	HR	
10640	10600	HR	
10680	10645	HR	
10740	10685	HR	
10810	10745	HR	
10870	10815	HR	
10955	10875	HR	
11005	10960	TS	
11055	11010	TS	
11100	11060	TS	
11125	11105	TS	
11190	11130	TS	
11245	11195	HR	
11265	11250	HR	
11305	11270	HR	
11380	11310	HR	
11430	11385	HR	
11485	11435	HR	
11550	11490	HR	
11610	11555	HR	
11655	11615	TS	
11715	11660	TS	
11770	11720	HR	
11800	11775	TS	
11850	11805	TS	
11910	11855	HR	
11995	11915	HR	
12055	12000	TS	
12125	12060	HR	
12150	12130	TS	
12220	12155	HR	
12270	12225	HR	
12325	12275	TS	
12380	12330	HR	
12410	12385	HR	
12485	12415	HR	
12555	12490	HR	
12590	12560	HR	
12695	12595	HR	
12755	12700	HR	
12795	12760	HR	
12910	12800	HR	
12965	12915	HR	
12995	12970	TS	
13045	13000	TS	
13075	13050	TS	
13110	13080	TS	
13175	13115	HR	
13255	13180	HR	
13325	13260	HR	
13385	13330	HR	
13450	13390	HR	
13480	13455	TS	
13535	13485	HR	
13595	13540	TS	
13635	13600	TS	
13720	13640	HR	
13755	13725	TS	
13810	13760	HR	
13885	13815	HR	
13950	13890	HR	
14005	13955	HR	
14065	14010	HR	
14150	14070	HR	
14175	14155	TS	
14240	14180	HR	
14270	14245	HR	
14310	14275	TS	
14345	14315	TS	
14425	14350	HR	
14480	14430	TS	
14500	14485	HR	
14525	14505	HR	
14555	14530	HR	
14645	14560	HR	
14710	14650	TS	
14765	14715	TS	
14835	14770	HR	
14865	14840	TS	
14940	14870	TS	
14965	14945	TS	
15020	14970	TS	
15040	15025	TS	
15080	15045	HR	
15255	15085	HR	
15320	15260	HR	
15395	15325	HR	
15440	15400	TS	
15475	15445	TS	
15505	15480	TS	
15565	15510	HR	
15595	15570	TS	
15705	15600	HR	
15780	15710	HR	
15870	15785	HR	
15905	15875	TS	
15970	15910	TS	
16010	15975	TS	
16050	16015	TS	
16085	16055	TS	
16145	16090	TS	
16205	16150	HR	
16300	16210	HR	
16335	16305	TS	
16375	16340	HR	
16455	16380	HR	
16520	16460	HR	
16560	16525	TS	
16630	16565	TS	
16690	16635	TS	
16720	16695	TS	
16770	16725	HR	
16810	16775	TS	
16865	16815	HR	
16925	16870	HR	
16990	16930	HR	
17030	16995	TS	
17070	17035	HR	
17135	17075	HR	
17185	17140	HR	
17225	17190	HR	
17275	17230	TS	
17310	17280	HR	
17370	17315	HR	
17410	17375	TS	
17455	17415	TS	
17510	17460	HR	
17545	17515	HR	
17595	17550	HR	
17640	17600	HR	
17700	17645	HR	
17745	17705	TS	
17790	17750	TS	
17815	17795	TS	
17855	17820	TS	
17900	17860	TS	
17975	17905	HR	
18020	17980	TS	
18065	18025	TS	
18125	18070	HR	
18155	18130	TS	
18260	18160	HR	
18350	18265	HR	
18420	18355	HR	
18485	18425	TS	
18575	18490	HR	
18605	18580	TS	
18645	18610	TS	
18685	18650	HR	
18730	18690	TS	
18770	18735	TS	
18800	18775	TS	
18830	18805	TS	
18875	18835	TS	
18905	18880	HR	
18955	18910	HR	
19020	18960	HR	
19060	19025	TS	
19090	19065	TS	
19165	19095	HR	
19190	19170	TS	
19285	19195	HR	
19325	19290	HR	
19360	19330	TS	
19395	19365	TS	
19435	19400	HR	
19490	19440	TS	
19550	19495	HR	
19585	19555	TS	
19640	19590	HR	
19670	19645	TS	
19700	19675	TS	
19760	19705	HR	
19800	19765	TS	
19850	19805	HR	
19895	19855	HR	
19940	19900	TS	
19980	19945	TS	
20045	19985	HR	
20085	20050	HR	
20170	20090	HR	
20225	20175	TS	
20270	20230	HR	
20325	20275	HR	
20385	20330	HR	
20425	20390	TS	
20470	20430	TS	
20535	20475	TS	
20575	20540	TS	
20610	20580	TS	
20650	20615	HR	
20700	20655	HR	
20750	20705	HR	
20815	20755	HR	
20870	20820	HR	
20895	20875	TS	
20995	20900	TS	
21035	21000	HR	
21095	21040	HR	
21120	21100	HR	
21155	21125	TS	
21195	21160	HR	
21300	21200	HR	
21390	21305	HR	
21435	21395	HR	
21470	21440	TS	
21535	21475	HR	
21575	21540	TS	
21650	21580	HR	
21725	21655	HR	
21760	21730	HR	
21785	21765	TS	
21840	21790	HR	
21880	21845	HR	
21925	21885	HR	
21955	21930	TS	
22015	21960	HR	
22070	22020	HR	
22100	22075	TS	
22160	22105	HR	
22225	22165	HR	
22265	22230	TS	
22320	22270	TS	
22360	22325	TS	
22415	22365	HR	
22480	22420	HR	
22525	22485	HR	
22560	22530	HR	
22590	22565	HR	
22635	22595	TS	
22680	22640	HR	
22720	22685	TS	
22750	22725	TS	
22835	22755	HR	
22865	22840	HR	
22895	22870	TS	
22935	22900	TS	
22995	22940	HR	
23045	23000	HR	
23085	23050	HR	
23120	23090	TS	
23160	23125	HR	
23225	23165	HR	
23260	23230	HR	
23330	23265	HR	
23375	23335	HR	
23435	23380	TS	
23500	23440	HR	
23545	23505	TS	
23580	23550	TS	
23670	23585	HR	
23720	23675	HR	
23790	23725	HR	
23830	23795	TS	
23880	23835	TS	
23940	23885	HR	
23975	23945	TS	
24015	23980	HR	
24080	24020	HR	
24120	24085	HR	
24155	24125	TS	
